Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
1195614,110,3,2,1,2,0,0,1,0,Mooca,sale,10869.218181818182,"(-23.556404, -46.606369)",Privada,0.3316774496234725
2450000,221,3,4,3,4,1,1,1,0,Mooca,sale,11085.972850678732,"(-23.550987, -46.590908)",Privada,0.21153322126475047
919990,126,3,4,3,2,1,1,1,0,Mooca,sale,7301.507936507936,"(-23.549196, -46.595386)",Pública,0.16618331174315687
1550000,172,3,5,3,3,0,0,1,0,Mooca,sale,9011.627906976744,"(-23.556104, -46.607512)",Privada,0.4631990420725898
580000,87,3,3,1,2,1,0,1,0,Mooca,sale,6666.666666666667,"(-23.55654, -46.604418)",Privada,0.1272395391402697
1650000,185,4,4,1,2,0,0,1,0,Mooca,sale,8918.918918918918,"(-23.55675, -46.598875)",Privada,0.35167469768731396
629950,83,3,3,1,2,1,0,1,0,Mooca,sale,7589.759036144578,"(-23.560043, -46.604831)",Pública,0.2541242501464152
441000,69,2,2,1,2,1,0,1,1,Mooca,sale,6391.304347826087,"(-23.559428, -46.60377)",Pública,0.121423792159776
550000,77,3,2,1,2,0,0,0,0,Mooca,sale,7142.857142857143,"(-23.557436, -46.595304)",Privada,0.37669926450325486
203000,34,2,2,1,1,1,0,1,0,Mooca,sale,5970.588235294118,"(-23.55989, -46.594119)",Privada,0.25203477363193705
680000,85,3,2,1,2,1,0,1,0,Mooca,sale,8000.0,"(-23.563142, -46.584295)",Privada,0.20258701646044522
345300,58,3,2,0,1,1,0,0,1,Mooca,sale,5953.448275862069,"(-23.549321, -46.583944)",Privada,0.6843770357731296
995000,120,3,3,1,2,1,0,1,0,Mooca,sale,8291.666666666666,"(-23.565535, -46.601888)",Privada,0.3773642260941964
369000,60,3,2,1,1,1,0,1,0,Mooca,sale,6150.0,"(-23.556681, -46.591792)",Privada,0.2533263871687496
927000,140,3,2,1,3,1,0,1,0,Mooca,sale,6621.428571428572,"(-23.556407, -46.606371)",Privada,0.33179913411071865
880000,118,3,4,3,2,1,0,1,1,Mooca,sale,7457.627118644068,"(-23.558443, -46.593451)",Privada,0.3016544627523764
526000,70,2,2,1,1,1,0,1,0,Mooca,sale,7514.285714285715,"(-23.580576, -46.586502)",Privada,0.2725914049675172
660000,85,3,2,1,2,1,0,1,0,Mooca,sale,7764.705882352941,"(-23.563142, -46.584295)",Privada,0.20258701646044522
385000,64,2,2,1,1,1,1,1,0,Mooca,sale,6015.625,"(-23.557841, -46.591533)",Privada,0.3212671670734933
522900,83,3,2,1,2,1,0,1,1,Mooca,sale,6300.0,"(-23.559428, -46.60377)",Pública,0.121423792159776
340000,65,3,2,1,1,1,1,1,0,Mooca,sale,5230.7692307692305,"(-23.550464, -46.604648)",Privada,0.11164957592630927
600000,82,2,2,1,1,0,1,1,0,Mooca,sale,7317.073170731707,"(-23.557555, -46.606281)",Privada,0.311037343247872
